# f1,f2,f3,f4,f5,f6,f7,f8,sign
-8.692378401756286621e-01,4.793770015239715576e-01,5.050193309783935547e+00,-8.558663129806518555e-01,-6.342957019805908203e-01,-1.982531070709228516e+00,-1.312039732933044434e+00,-1.514488577842712402e+00,2.000000000000000000e+00
-8.025932312011718750e-01,-7.778699994087219238e-01,-7.010173797607421875e-01,-1.162801980972290039e+00,-9.195034503936767578e-01,-6.180450320243835449e-01,-3.704515099525451660e-01,6.091976642608642578e+00,7.000000000000000000e+00
6.166809052228927612e-02,-6.323733329772949219e-01,-2.569214105606079102e-01,-1.802411317825317383e+00,5.586131095886230469e+00,-2.404788970947265625e+00,-1.198275685310363770e+00,-1.786700129508972168e+00,4.000000000000000000e+00
-5.739534497261047363e-01,-8.180066347122192383e-01,-9.921275973320007324e-01,-1.540296196937561035e+00,-6.412634253501892090e-01,-1.294810533523559570e+00,6.261075496673583984e+00,-7.967441082000732422e-01,6.000000000000000000e+00
5.330531597137451172e+00,-2.103909015655517578e+00,-1.566371917724609375e+00,2.214877903461456299e-01,-6.656991243362426758e-01,-6.970822215080261230e-01,-1.219019055366516113e+00,-2.334762811660766602e+00,0.000000000000000000e+00
-7.513948678970336914e-01,-1.005174398422241211e+00,-7.077142000198364258e-01,-1.236791729927062988e+00,-9.203368425369262695e-01,-4.974089264869689941e-01,-2.827481627464294434e-01,5.882940292358398438e+00,7.000000000000000000e+00
4.904352128505706787e-01,-1.596501350402832031e+00,-1.191304802894592285e+00,5.384299278259277344e+00,-1.824067234992980957e+00,4.217828512191772461e-01,-1.543451309204101562e+00,-1.225748181343078613e+00,3.000000000000000000e+00
-7.267026305198669434e-01,-8.027359247207641602e-01,-6.854867339134216309e-01,-1.168577790260314941e+00,-8.693892955780029297e-01,-6.392712593078613281e-01,-4.112190008163452148e-01,5.952639579772949219e+00,7.000000000000000000e+00
-1.076639771461486816e+00,5.868453979492187500e-01,5.442525386810302734e+00,-1.295783400535583496e+00,-5.704416036605834961e-01,-2.465220451354980469e+00,-8.527678847312927246e-01,-1.653879523277282715e+00,2.000000000000000000e+00
1.545147597789764404e-01,-7.579781413078308105e-01,-6.074061244726181030e-02,-1.454732418060302734e+00,-8.144686222076416016e-01,-1.722923994064331055e+00,5.382483482360839844e+00,-9.068263769149780273e-01,6.000000000000000000e+00
