# f1,f2,f3,f4,f5,f6,f7,f8,sign
-1.280577421188354492e+00,5.481093406677246094e+00,9.643566608428955078e-01,-9.751775264739990234e-01,-5.738589763641357422e-01,-9.805533289909362793e-01,-1.250834941864013672e+00,-8.690527081489562988e-01,1.000000000000000000e+00
-7.082213163375854492e-01,-8.920477628707885742e-01,-6.519742012023925781e-01,-1.173965096473693848e+00,-8.997151851654052734e-01,-5.985252261161804199e-01,-4.457062482833862305e-01,5.944597721099853516e+00,7.000000000000000000e+00
-7.815342545509338379e-01,-7.096567153930664062e-01,-6.898094415664672852e-01,-1.125717163085937500e+00,-8.922574520111083984e-01,-6.401892900466918945e-01,-4.080655574798583984e-01,5.940382003784179688e+00,7.000000000000000000e+00
-7.476475238800048828e-01,-8.465307950973510742e-01,-7.348078489303588867e-01,-1.234077215194702148e+00,-9.097898602485656738e-01,-6.245388388633728027e-01,-3.907248973846435547e-01,6.125387668609619141e+00,7.000000000000000000e+00
-1.049925327301025391e+00,5.186052322387695312e-01,5.341542720794677734e+00,-1.175971984863281250e+00,-5.382364988327026367e-01,-2.357357263565063477e+00,-9.697389006614685059e-01,-1.559063792228698730e+00,2.000000000000000000e+00
-5.513547658920288086e-01,-7.041512727737426758e-01,-1.723890304565429688e+00,7.515536546707153320e-01,-1.136625051498413086e+00,5.209945678710937500e+00,-1.015495300292968750e+00,-1.096644043922424316e+00,5.000000000000000000e+00
-7.261188626289367676e-01,-7.122128009796142578e-01,-6.948645710945129395e-01,-1.133273363113403320e+00,-8.780026435852050781e-01,-6.475420594215393066e-01,-4.501637816429138184e-01,5.806641101837158203e+00,7.000000000000000000e+00
5.330531597137451172e+00,-2.103909015655517578e+00,-1.566371917724609375e+00,2.214877903461456299e-01,-6.656991243362426758e-01,-6.970822215080261230e-01,-1.219019055366516113e+00,-2.334762811660766602e+00,0.000000000000000000e+00
-7.671606540679931641e-01,-8.366659879684448242e-01,-3.797196745872497559e-01,-8.024258017539978027e-01,-1.062334179878234863e+00,-4.889269471168518066e-01,-5.312449932098388672e-01,5.286437511444091797e+00,7.000000000000000000e+00
-6.154518723487854004e-01,-6.868346929550170898e-01,-1.693531274795532227e+00,8.097841739654541016e-01,-1.143617868423461914e+00,5.173418521881103516e+00,-9.578372240066528320e-01,-1.137578129768371582e+00,5.000000000000000000e+00
4.568512737751007080e-01,-1.471456527709960938e+00,-1.117730021476745605e+00,5.130920886993408203e+00,-1.782984972000122070e+00,3.948121666908264160e-01,-1.341189503669738770e+00,-1.298956632614135742e+00,5.000000000000000000e+00
-5.708159208297729492e-01,-8.163359165191650391e-01,-1.022535562515258789e+00,-1.517730951309204102e+00,-6.460962891578674316e-01,-1.295958995819091797e+00,6.253454685211181641e+00,-7.576299309730529785e-01,6.000000000000000000e+00
-1.462304830551147461e+00,5.451469421386718750e+00,9.139975309371948242e-01,-1.106947422027587891e+00,-4.679821729660034180e-01,-9.684620499610900879e-01,-9.173254966735839844e-01,-1.008304834365844727e+00,1.000000000000000000e+00
5.168360233306884766e+00,-1.959479689598083496e+00,-1.533404707908630371e+00,-3.867109864950180054e-02,-7.017827630043029785e-01,-6.709560751914978027e-01,-1.076984763145446777e+00,-2.317077636718750000e+00,0.000000000000000000e+00
4.324906766414642334e-01,-1.595292091369628906e+00,-1.169638037681579590e+00,5.421608448028564453e+00,-1.795053362846374512e+00,3.839446902275085449e-01,-1.532793402671813965e+00,-1.251568675041198730e+00,3.000000000000000000e+00
-1.031560420989990234e+00,-1.084110379219055176e+00,-4.841558039188385010e-01,-9.692019224166870117e-01,-9.865951538085937500e-01,-3.213421106338500977e-01,-6.904006004333496094e-03,5.231924057006835938e+00,7.000000000000000000e+00
-9.921370744705200195e-01,-1.087385654449462891e+00,-6.128740906715393066e-01,-1.111067652702331543e+00,-1.007753491401672363e+00,-3.155465722084045410e-01,-1.208004206418991089e-01,5.577860355377197266e+00,7.000000000000000000e+00
-5.946174263954162598e-01,-7.116502523422241211e-01,-1.813260674476623535e+00,9.406026005744934082e-01,-1.151414752006530762e+00,5.339136123657226562e+00,-1.043540477752685547e+00,-1.226216316223144531e+00,5.000000000000000000e+00
4.838779568672180176e-01,-1.591962218284606934e+00,-1.171485543251037598e+00,5.339285373687744141e+00,-1.756821036338806152e+00,3.673628568649291992e-01,-1.478538751602172852e+00,-1.239907145500183105e+00,3.000000000000000000e+00
4.805961549282073975e-01,-1.606426954269409180e+00,-1.194061398506164551e+00,5.407190322875976562e+00,-1.835385441780090332e+00,4.295687079429626465e-01,-1.569557189941406250e+00,-1.222728610038757324e+00,3.000000000000000000e+00
-7.766618728637695312e-01,-9.096957445144653320e-01,-7.363932132720947266e-01,-1.261831283569335938e+00,-9.229862689971923828e-01,-5.843901038169860840e-01,-3.454957604408264160e-01,6.171218872070312500e+00,7.000000000000000000e+00
5.373537540435791016e+00,-2.153751850128173828e+00,-1.587400078773498535e+00,3.619728684425354004e-01,-6.493878364562988281e-01,-7.687457203865051270e-01,-1.281427979469299316e+00,-2.368568897247314453e+00,0.000000000000000000e+00
-5.864230990409851074e-01,-7.623867988586425781e-01,-1.063151836395263672e+00,-1.338235020637512207e+00,-6.465079784393310547e-01,-1.040581345558166504e+00,6.007376670837402344e+00,-7.408291697502136230e-01,6.000000000000000000e+00
-7.259435057640075684e-01,-9.351919293403625488e-01,-6.364840269088745117e-01,-1.167956113815307617e+00,-9.530422687530517578e-01,-5.153813958168029785e-01,-3.036910295486450195e-01,5.838379383087158203e+00,7.000000000000000000e+00
4.375078678131103516e+00,-1.607512712478637695e+00,-1.413786888122558594e+00,-1.064360141754150391e+00,7.627250254154205322e-02,-9.739226698875427246e-01,-2.126929014921188354e-01,-2.080044031143188477e+00,0.000000000000000000e+00
-4.648119211196899414e-03,-1.012801408767700195e+00,-5.739513039588928223e-01,-1.461372256278991699e+00,-9.155971407890319824e-01,-1.666850209236145020e+00,5.946354389190673828e+00,-7.001288533210754395e-01,6.000000000000000000e+00
5.377173423767089844e+00,-2.172881841659545898e+00,-1.598951697349548340e+00,4.997853040695190430e-01,-6.860644221305847168e-01,-7.667892575263977051e-01,-1.293907523155212402e+00,-2.387645244598388672e+00,0.000000000000000000e+00
-1.056706547737121582e+00,6.352630853652954102e-01,5.385817050933837891e+00,-1.314423799514770508e+00,-4.525032043457031250e-01,-2.495223999023437500e+00,-8.724785447120666504e-01,-1.718661427497863770e+00,2.000000000000000000e+00
5.534504055976867676e-01,-1.641768574714660645e+00,-1.226978182792663574e+00,5.300323009490966797e+00,-1.786691546440124512e+00,4.205895662307739258e-01,-1.577905058860778809e+00,-1.169885039329528809e+00,3.000000000000000000e+00
-8.335582911968231201e-03,-5.796289443969726562e-01,-2.684167325496673584e-01,-1.797162532806396484e+00,5.562758922576904297e+00,-2.340069532394409180e+00,-1.121232032775878906e+00,-1.781852364540100098e+00,4.000000000000000000e+00
-1.386748194694519043e+00,5.622821807861328125e+00,1.030876755714416504e+00,-1.195855140686035156e+00,-4.921609163284301758e-01,-1.008257865905761719e+00,-1.076622247695922852e+00,-8.582012653350830078e-01,1.000000000000000000e+00
-7.518131732940673828e-01,-9.812600612640380859e-01,-7.404059767723083496e-01,-1.281926274299621582e+00,-9.203270673751831055e-01,-5.176823735237121582e-01,-2.946397662162780762e-01,6.027133464813232422e+00,7.000000000000000000e+00
3.999641180038452148e+00,-2.153937101364135742e+00,-8.282999992370605469e-01,-3.164278864860534668e-01,-2.570195123553276062e-02,-1.370539426803588867e+00,-3.882525563240051270e-01,-1.867724299430847168e+00,0.000000000000000000e+00
-5.091105699539184570e-01,-7.014369368553161621e-01,-1.785380840301513672e+00,8.107046484947204590e-01,-1.136984825134277344e+00,5.208636283874511719e+00,-1.062729001045227051e+00,-1.096783280372619629e+00,5.000000000000000000e+00
-1.578397035598754883e+00,5.657756805419921875e+00,1.095042586326599121e+00,-1.420004367828369141e+00,-4.858140647411346436e-01,-9.695268273353576660e-01,-7.814847826957702637e-01,-8.922165036201477051e-01,1.000000000000000000e+00
5.082050800323486328e+00,-2.000646591186523438e+00,-1.478227019309997559e+00,2.052693068981170654e-01,-4.285120368003845215e-01,-8.258424997329711914e-01,-1.222654461860656738e+00,-2.295770645141601562e+00,0.000000000000000000e+00
4.894763946533203125e+00,-1.603061676025390625e+00,-1.484733462333679199e+00,-6.828039884567260742e-01,-4.529447555541992188e-01,-7.269011735916137695e-01,-1.050042748451232910e+00,-2.139367341995239258e+00,0.000000000000000000e+00
5.413473606109619141e+00,-2.191231012344360352e+00,-1.599617600440979004e+00,4.576726257801055908e-01,-7.012780904769897461e-01,-7.448807358741760254e-01,-1.319663405418395996e+00,-2.356786727905273438e+00,0.000000000000000000e+00
-7.770459055900573730e-01,-7.990745306015014648e-01,-7.053202390670776367e-01,-1.177078127861022949e+00,-9.155856370925903320e-01,-6.334629058837890625e-01,-3.982620239257812500e-01,6.093954563140869141e+00,7.000000000000000000e+00
-5.884239673614501953e-01,-6.894919872283935547e-01,-1.635531187057495117e+00,7.236320972442626953e-01,-1.105677247047424316e+00,5.069111824035644531e+00,-9.350533485412597656e-01,-1.089265823364257812e+00,5.000000000000000000e+00
4.828512191772460938e+00,-1.818255662918090820e+00,-1.380326628684997559e+00,-4.252218008041381836e-01,-5.287516713142395020e-01,-4.867315888404846191e-01,-1.031633615493774414e+00,-2.024024009704589844e+00,0.000000000000000000e+00
-1.022525787353515625e+00,5.282191634178161621e-01,5.528935909271240234e+00,-1.204306483268737793e+00,-6.349362134933471680e-01,-2.463912963867187500e+00,-8.799410462379455566e-01,-1.576067328453063965e+00,2.000000000000000000e+00
4.291132986545562744e-01,-1.029824852943420410e+00,-7.634940147399902344e-01,4.112098217010498047e+00,-1.171056866645812988e+00,5.037865042686462402e-01,-8.724458813667297363e-01,-1.312936067581176758e+00,3.000000000000000000e+00
-7.453204989433288574e-01,-9.788992404937744141e-01,-7.518804669380187988e-01,-1.314489483833312988e+00,-9.272773265838623047e-01,-5.401774048805236816e-01,-3.121633529663085938e-01,6.157882213592529297e+00,7.000000000000000000e+00
5.860603451728820801e-01,-1.522160887718200684e+00,-1.121290087699890137e+00,5.019543170928955078e+00,-1.654492974281311035e+00,3.466066122055053711e-01,-1.255285024642944336e+00,-1.300747513771057129e+00,3.000000000000000000e+00
-6.224151253700256348e-01,-1.061432361602783203e+00,-8.176314234733581543e-01,-1.442297935485839844e+00,-9.236501455307006836e-01,-5.859562754631042480e-01,-3.459364175796508789e-01,6.140377998352050781e+00,5.000000000000000000e+00
4.677615165710449219e-01,-1.596951246261596680e+00,-1.164687037467956543e+00,5.324647426605224609e+00,-1.763686418533325195e+00,3.750047683715820312e-01,-1.550216078758239746e+00,-1.211611866950988770e+00,3.000000000000000000e+00
4.349960803985595703e+00,-1.557639598846435547e+00,-1.343367695808410645e+00,-8.689552545547485352e-01,2.035015448927879333e-02,-8.968735337257385254e-01,-5.990661382675170898e-01,-2.110079526901245117e+00,0.000000000000000000e+00
2.342799305915832520e-01,-7.217715382575988770e-01,-2.627944350242614746e-01,-1.782673597335815430e+00,5.530767440795898438e+00,-2.429023265838623047e+00,-1.272615075111389160e+00,-1.773123860359191895e+00,4.000000000000000000e+00
5.022684574127197266e+00,-2.024793863296508789e+00,-1.525447010993957520e+00,7.509714365005493164e-02,-6.158746480941772461e-01,-6.392167806625366211e-01,-1.159007072448730469e+00,-2.094194889068603516e+00,0.000000000000000000e+00
-7.267026305198669434e-01,-8.027359247207641602e-01,-6.854867339134216309e-01,-1.168577790260314941e+00,-8.693892955780029297e-01,-6.392712593078613281e-01,-4.112190008163452148e-01,5.952639579772949219e+00,7.000000000000000000e+00
4.797551035881042480e-01,-1.661921977996826172e+00,-1.241736769676208496e+00,5.365389347076416016e+00,-1.805035114288330078e+00,4.068074822425842285e-01,-1.709187626838684082e+00,-1.206951975822448730e+00,3.000000000000000000e+00
4.990209639072418213e-01,-8.060582876205444336e-01,-1.512249410152435303e-01,-2.016855239868164062e+00,5.360064029693603516e+00,-2.600824356079101562e+00,-1.171645402908325195e+00,-2.005449056625366211e+00,4.000000000000000000e+00
-1.597313880920410156e-01,-9.827128648757934570e-01,-5.564442873001098633e-01,-1.551827788352966309e+00,-8.028302788734436035e-01,-1.571782350540161133e+00,6.577417850494384766e+00,-8.113707900047302246e-01,6.000000000000000000e+00
4.481995701789855957e-01,-1.621200323104858398e+00,-1.200376033782958984e+00,5.448029994964599609e+00,-1.805156350135803223e+00,4.027009606361389160e-01,-1.582019329071044922e+00,-1.242822647094726562e+00,3.000000000000000000e+00
5.380387902259826660e-01,-1.523273944854736328e+00,-1.097328782081604004e+00,5.145063877105712891e+00,-1.709025859832763672e+00,3.388378620147705078e-01,-1.325171589851379395e+00,-1.268204450607299805e+00,3.000000000000000000e+00
-8.805966377258300781e-01,5.017226338386535645e-01,5.132738590240478516e+00,-9.042320847511291504e-01,-6.504647135734558105e-01,-2.046911001205444336e+00,-1.205702424049377441e+00,-1.608958482742309570e+00,2.000000000000000000e+00
-7.641140818595886230e-01,-8.135415315628051758e-01,-6.795449256896972656e-01,-1.152955412864685059e+00,-9.089803099632263184e-01,-6.026883721351623535e-01,-3.790189623832702637e-01,5.928259372711181641e+00,7.000000000000000000e+00
5.064153075218200684e-01,-1.585196733474731445e+00,-1.176031708717346191e+00,5.340091705322265625e+00,-1.821601510047912598e+00,4.198758602142333984e-01,-1.522094488143920898e+00,-1.217194914817810059e+00,3.000000000000000000e+00
-8.048564791679382324e-01,-7.453427314758300781e-01,-6.141152977943420410e-01,-1.037818193435668945e+00,-9.107469320297241211e-01,-5.509595274925231934e-01,-3.487538695335388184e-01,5.596317768096923828e+00,7.000000000000000000e+00
