ID,LEFT_WRIST_THUMB_CMC_MCP,LEFT_THUMB_CMC_MCP_IP,LEFT_THUMB_MCP_IP_TIP,LEFT_WRIST_INDEX_FINGER_MCP_PIP,LEFT_INDEX_FINGER_MCP_PIP_DIP,LEFT_INDEX_FINGER_PIP_DIP_TIP,LEFT_WRIST_MIDDLE_FINGER_MCP_PIP,LEFT_MIDDLE_FINGER_MCP_PIP_DIP,LEFT_MIDDLE_FINGER_PIP_DIP_TIP,LEFT_WRIST_RING_FINGER_MCP_PIP,LEFT_RING_FINGER_MCP_PIP_DIP,LEFT_RING_FINGER_PIP_DIP_TIP,LEFT_WRIST_PINKY_MCP_PIP,LEFT_PINKY_MCP_PIP_DIP,LEFT_PINKY_PIP_DIP_TIP,RIGHT_WRIST_THUMB_CMC_MCP,RIGHT_THUMB_CMC_MCP_IP,RIGHT_THUMB_MCP_IP_TIP,RIGHT_WRIST_INDEX_FINGER_MCP_PIP,RIGHT_INDEX_FINGER_MCP_PIP_DIP,RIGHT_INDEX_FINGER_PIP_DIP_TIP,RIGHT_WRIST_MIDDLE_FINGER_MCP_PIP,RIGHT_MIDDLE_FINGER_MCP_PIP_DIP,RIGHT_MIDDLE_FINGER_PIP_DIP_TIP,RIGHT_WRIST_RING_FINGER_MCP_PIP,RIGHT_RING_FINGER_MCP_PIP_DIP,RIGHT_RING_FINGER_PIP_DIP_TIP,RIGHT_WRIST_PINKY_MCP_PIP,RIGHT_PINKY_MCP_PIP_DIP,RIGHT_PINKY_PIP_DIP_TIP,R_SHOULDER_L_SHOULDER_L_ELBOW,L_SHOULDER_L_ELBOW_L_WRIST,L_ELBOW_L_WRIST_L_PINKY,L_SHOULDER_R_SHOULDER_R_ELBOW,R_SHOULDER_R_ELBOW_R_WRIST,R_ELBOW_R_WRIST_R_PINKY,LEFT_THUMB_CMC_TIP,LEFT_INDEX_MCP_TIP,LEFT_MIDDLE_MCP_TIP,LEFT_RING_MCP_TIP,LEFT_PINKY_MCP_TIP,LEFT_THUMB_TIP_INDEX_TIP,LEFT_INDEX_TIP_MIDDLE_TIP,LEFT_MIDDLE_TIP_RING_TIP,LEFT_RING_TIP_PINKY_TIP,RIGHT_THUMB_CMC_TIP,RIGHT_INDEX_MCP_TIP,RIGHT_MIDDLE_MCP_TIP,RIGHT_RING_MCP_TIP,RIGHT_PINKY_MCP_TIP,RIGHT_THUMB_TIP_INDEX_TIP,RIGHT_INDEX_TIP_MIDDLE_TIP,RIGHT_MIDDLE_TIP_RING_TIP,RIGHT_RING_TIP_PINKY_TIP,L_SHOULDER_L_WRIST,R_SHOULDER_R_WRIST
058_006_004,150.5,161.45,151.11,138.52,174.88,177.15,167.61,173.69,178.45,161.62,175.32,177.2,140.73,173.33,173.29,151.05,147.13,174.57,163.02,173.85,175.82,175.71,178.49,175.76,160.15,178.21,175.48,146.74,173.83,173.59,104.81,,,,,,0.06658391454635859,0.05409522771400726,0.06012319010168959,0.05436801839988881,0.038935849175264096,0.07466103310965581,0.027891027809225477,0.0249918012689071,0.030754490121950133,0.06428195081308351,0.05673676459383866,0.06011026095280701,0.05289794343877916,0.04014317687153628,0.04972281744418191,0.024473481722875636,0.029796478671002595,0.030807069437483504,,0.48293670172949066
058_006_004,150.48,161.06,144.84,140.65,176.26,177.5,166.93,175.91,176.22,168.32,176.1,179.26,151.15,172.33,176.16,150.3,139.89,168.48,159.0,174.71,176.87,175.08,175.8,177.02,164.04,174.42,176.23,152.1,175.62,175.64,105.18,,,110.99,83.85,152.67,0.06676225500395293,0.05585938556180862,0.06198084640396492,0.05634184324404756,0.04211114398492213,0.07665263948270382,0.026751360405038133,0.026875652700630203,0.02913282970534603,0.06815505656112021,0.055571568908935304,0.059823642526053,0.05431524933487897,0.04074943260315892,0.04776459295556281,0.025308547553676296,0.027964078540606504,0.029342303292430455,,0.45996748275309046
058_006_004,151.16,162.12,147.44,142.82,174.18,175.33,165.85,175.17,175.5,171.22,176.34,179.07,154.43,171.45,174.17,150.61,138.86,169.59,157.35,177.06,178.27,176.05,178.03,177.96,165.06,175.58,176.19,153.96,176.57,175.33,105.62,,,108.7,86.16,148.7,0.06693707093470283,0.05552747919111576,0.061184237268824715,0.05588668389044787,0.041729059598551145,0.0761971550210205,0.027432462598551026,0.025648435864147674,0.02850530577078113,0.06903705199617462,0.058406230298851454,0.06265608551982708,0.056475217527714616,0.04232537666954089,0.048297108654156116,0.025823612466316575,0.02931562126229975,0.02910185486898174,,0.46062689107039007
058_006_004,151.55,162.58,148.82,142.12,174.9,175.87,165.28,175.9,175.79,171.24,177.07,179.13,154.69,170.69,174.76,151.87,138.63,171.23,158.53,175.46,178.06,174.48,176.49,177.2,165.43,175.46,175.36,154.29,177.9,175.51,105.93,,,108.89,85.3,147.47,0.06730357089576434,0.05616084175037147,0.06187919692921147,0.05637684032123272,0.04220183081964151,0.07613878530977763,0.02782492197579219,0.02577887706735847,0.028996212818554464,0.0682436570997653,0.05689715442919455,0.06129382513641588,0.05521587405650915,0.0420022498393455,0.04835999380387109,0.02687285295772705,0.028778690612521713,0.028686694468334325,,0.4570930993078393
058_006_004,151.38,163.02,146.7,142.81,174.01,175.5,165.89,174.93,175.04,170.5,175.49,179.62,153.35,172.95,175.34,152.06,138.73,167.69,158.27,175.09,177.86,175.85,176.22,177.06,165.57,174.65,175.4,153.37,177.6,175.89,106.03,,,108.46,80.84,146.7,0.06842914464229347,0.05624146015667741,0.06164624854763579,0.05623889893406608,0.04180351612635338,0.07668718414341714,0.027831928392681213,0.02585747441623048,0.028459454037613068,0.06945831381674976,0.05725083997708187,0.06148991081129602,0.0552805263663483,0.042007772976415614,0.04904229999869305,0.026062826942215216,0.02985738040519166,0.028587572787655467,,0.4279471998050371
058_006_004,151.37,163.19,147.11,141.62,174.96,175.41,164.57,176.11,175.06,171.1,176.41,179.54,154.13,171.91,174.91,153.44,138.71,170.52,159.1,175.07,178.17,174.95,176.52,177.5,165.93,174.89,175.68,153.58,178.12,175.39,106.07,74.08,,108.11,83.97,148.37,0.06784331691268526,0.056280696780301245,0.06224619279125926,0.05691097426202969,0.04271300301520924,0.07580137700811831,0.027890620768041198,0.025757638490928207,0.028644982244974464,0.06886620460836612,0.05786695635686229,0.062146643948429794,0.05638066210409004,0.04285051017730947,0.04913767482868035,0.02587067918243147,0.029148183098648767,0.028769719359886533,0.3224031818961163,0.4608264038267822
058_006_004,151.34,162.31,148.0,141.4,175.41,175.79,164.61,176.14,175.62,172.28,176.77,179.12,155.59,171.09,174.57,153.2,139.52,169.77,161.49,174.03,177.43,174.49,175.22,176.68,164.58,174.04,175.1,152.72,177.03,176.04,106.31,74.92,,109.61,88.55,148.84,0.06773805504332726,0.056006873980726034,0.06208281878072419,0.05687074413344014,0.042943332096935245,0.07543748624253334,0.02763474634320515,0.0261525393702339,0.028406146127285425,0.06820348587595153,0.056101187803651566,0.06049485105705725,0.05475261969084126,0.04183554391258333,0.04891310477145142,0.025808589252990396,0.02938921543151316,0.02818829153719171,0.3258705636540286,0.49361556532889556
058_006_004,151.37,163.5,147.15,141.74,175.38,176.02,165.36,175.93,176.04,171.0,176.52,178.89,153.4,170.8,174.61,152.47,139.92,166.49,160.1,174.68,178.16,174.14,175.98,177.67,164.84,174.73,175.76,153.32,176.61,175.12,106.27,73.79,166.81,108.47,86.53,149.07,0.06804866553320363,0.0560097818768218,0.062101391911834176,0.056921602042381385,0.04288045834400501,0.0754944867235788,0.027625644614553215,0.026318668412773097,0.0283097140597483,0.06870343447881802,0.05651200549103694,0.061342741921346894,0.0557679458711179,0.04249569295124917,0.04862937454098015,0.025771355060979058,0.02876108159296283,0.028481610315441733,0.3178930778161621,0.47781968126625046
058_006_004,150.8,164.49,146.74,142.5,175.1,175.65,165.39,175.95,175.94,171.18,176.78,179.11,153.83,171.22,174.58,152.96,141.31,168.01,160.5,174.42,177.82,173.61,175.86,177.49,166.19,174.38,175.76,154.69,177.04,175.41,106.23,75.52,166.65,109.12,85.77,149.99,0.06730451868015942,0.05604055739640288,0.06227370948671596,0.05718103730335468,0.04284666129946061,0.07485225694454967,0.02778301938637763,0.026012783511856024,0.028537364975637556,0.06883084422940554,0.0574683835438719,0.06202851183890032,0.056526261148257734,0.042879492459565974,0.04885033462609896,0.02553726507291142,0.0289688769349181,0.02901651409087248,0.3264931493764988,0.4734083741917371
058_006_004,150.94,164.54,146.5,143.47,174.78,175.92,165.73,175.58,175.63,171.21,176.37,179.01,154.13,171.09,174.83,153.01,141.31,169.98,159.92,175.31,177.59,174.33,177.28,177.49,165.91,175.53,175.64,153.53,179.02,175.04,106.27,75.83,166.44,110.18,88.75,151.23,0.06773071602826114,0.05565980770574466,0.061964034732285594,0.0570055588958607,0.043071952939068514,0.07502164654680199,0.02813603997108554,0.025937106724344166,0.0282866838698056,0.06940004385228705,0.058776689869910165,0.06330477006966896,0.05760641422581903,0.04347954337538602,0.04879519853008247,0.02514303102540442,0.029216020743615095,0.029356754566142663,0.3281938636351323,0.49746106379356975
