ID,LEFT_WRIST_THUMB_CMC_MCP,LEFT_THUMB_CMC_MCP_IP,LEFT_THUMB_MCP_IP_TIP,LEFT_WRIST_INDEX_FINGER_MCP_PIP,LEFT_INDEX_FINGER_MCP_PIP_DIP,LEFT_INDEX_FINGER_PIP_DIP_TIP,LEFT_WRIST_MIDDLE_FINGER_MCP_PIP,LEFT_MIDDLE_FINGER_MCP_PIP_DIP,LEFT_MIDDLE_FINGER_PIP_DIP_TIP,LEFT_WRIST_RING_FINGER_MCP_PIP,LEFT_RING_FINGER_MCP_PIP_DIP,LEFT_RING_FINGER_PIP_DIP_TIP,LEFT_WRIST_PINKY_MCP_PIP,LEFT_PINKY_MCP_PIP_DIP,LEFT_PINKY_PIP_DIP_TIP,RIGHT_WRIST_THUMB_CMC_MCP,RIGHT_THUMB_CMC_MCP_IP,RIGHT_THUMB_MCP_IP_TIP,RIGHT_WRIST_INDEX_FINGER_MCP_PIP,RIGHT_INDEX_FINGER_MCP_PIP_DIP,RIGHT_INDEX_FINGER_PIP_DIP_TIP,RIGHT_WRIST_MIDDLE_FINGER_MCP_PIP,RIGHT_MIDDLE_FINGER_MCP_PIP_DIP,RIGHT_MIDDLE_FINGER_PIP_DIP_TIP,RIGHT_WRIST_RING_FINGER_MCP_PIP,RIGHT_RING_FINGER_MCP_PIP_DIP,RIGHT_RING_FINGER_PIP_DIP_TIP,RIGHT_WRIST_PINKY_MCP_PIP,RIGHT_PINKY_MCP_PIP_DIP,RIGHT_PINKY_PIP_DIP_TIP,R_SHOULDER_L_SHOULDER_L_ELBOW,L_SHOULDER_L_ELBOW_L_WRIST,L_ELBOW_L_WRIST_L_PINKY,L_SHOULDER_R_SHOULDER_R_ELBOW,R_SHOULDER_R_ELBOW_R_WRIST,R_ELBOW_R_WRIST_R_PINKY,LEFT_THUMB_CMC_TIP,LEFT_INDEX_MCP_TIP,LEFT_MIDDLE_MCP_TIP,LEFT_RING_MCP_TIP,LEFT_PINKY_MCP_TIP,LEFT_THUMB_TIP_INDEX_TIP,LEFT_INDEX_TIP_MIDDLE_TIP,LEFT_MIDDLE_TIP_RING_TIP,LEFT_RING_TIP_PINKY_TIP,RIGHT_THUMB_CMC_TIP,RIGHT_INDEX_MCP_TIP,RIGHT_MIDDLE_MCP_TIP,RIGHT_RING_MCP_TIP,RIGHT_PINKY_MCP_TIP,RIGHT_THUMB_TIP_INDEX_TIP,RIGHT_INDEX_TIP_MIDDLE_TIP,RIGHT_MIDDLE_TIP_RING_TIP,RIGHT_RING_TIP_PINKY_TIP,L_SHOULDER_L_WRIST,R_SHOULDER_R_WRIST
harsha_1,162.96,171.52,171.91,172.89,173.59,177.3,170.5,160.86,169.63,172.57,165.49,167.14,159.31,168.25,177.82,176.62,174.75,159.21,177.53,176.24,175.09,173.25,165.74,166.12,153.01,158.86,167.1,153.67,169.87,173.05,112.66,108.31,174.27,99.25,103.93,160.68,0.07096803351669935,0.08589961644429156,0.06533913437675425,0.046179488497912535,0.07315555953266983,0.06915804376552051,0.05626380415889152,0.07532645007768772,0.09176159036878126,0.09265561479218692,0.07723464418952453,0.058206416422603754,0.05499896127294843,0.07876360026401281,0.04035647006480675,0.04557828781806314,0.07230415919586057,0.08132307815056992,0.7108893589842465,0.7834260601100173
harsha_1,175.68,177.81,173.36,175.71,174.58,176.06,176.68,158.42,168.5,174.47,149.57,170.63,151.27,163.03,177.72,176.53,175.6,171.9,174.26,178.34,176.44,169.84,171.62,173.35,153.1,159.01,168.82,135.97,170.07,172.29,111.83,107.89,168.66,101.54,101.71,166.18,0.09649304586151886,0.09659331587039408,0.06590566340058512,0.044875094839429974,0.07012176910974813,0.06455422426464195,0.06826617124285732,0.07042156498757438,0.0962624169595149,0.08850088620224315,0.07890921033460263,0.06344135269928074,0.05077968242142607,0.07299753073243966,0.05187133414966832,0.04001071012488368,0.06914149911107614,0.08985943699950495,0.6916265463287664,0.7409489568147383
harsha_1,168.54,176.94,172.59,176.59,173.73,175.76,172.07,154.03,168.16,173.0,146.37,166.21,142.85,161.94,176.72,159.12,174.58,179.32,175.16,171.11,170.58,174.29,163.08,172.89,141.38,156.4,168.97,127.17,163.52,174.6,105.55,105.14,175.73,110.44,99.74,165.19,0.10403806771811143,0.10225296648074786,0.0702806327317063,0.048829680950185396,0.06799833340717903,0.06886797842197229,0.057980246796033565,0.06896312719610567,0.10979387758449652,0.10137259692443239,0.08637689252022539,0.06426278946164513,0.04604830315992187,0.06434350447316008,0.06054210155782134,0.044832528902039495,0.07252169004896396,0.08744929564211547,0.6929509334050199,0.7258376972278775
harsha_1,167.4,170.75,175.42,171.47,166.52,171.85,163.6,150.32,163.76,160.6,146.69,169.8,143.87,155.76,174.86,169.99,174.99,176.59,169.48,167.91,170.63,173.52,164.98,172.92,178.65,166.92,173.83,170.03,150.12,170.29,105.4,105.29,167.45,111.36,96.97,162.81,0.10799896667916992,0.10038297738946038,0.08689301211188358,0.06881007015044309,0.056072529323404216,0.07464518490660796,0.041748681639759304,0.0654618059155357,0.12847175875189482,0.11062567593349479,0.09000394846013399,0.09126189332971546,0.08201247625700876,0.0406388424791029,0.05804130434504627,0.014324811951625188,0.03080291607325577,0.07294366262888187,0.7001374657538759,0.7142328310860481
harsha_1,169.76,173.15,176.02,173.48,170.72,170.13,175.19,161.26,173.26,154.5,146.49,171.96,124.27,149.7,166.25,158.36,178.47,169.14,177.54,171.01,176.09,169.92,165.25,174.49,173.5,155.55,172.89,158.27,157.45,174.03,99.08,96.24,176.27,117.77,95.13,170.35,0.11322339470789433,0.09352537469939275,0.08136286747578157,0.053256363075607945,0.04604578583982458,0.06709066375317276,0.034793566843092844,0.06911678980907834,0.0939349988955891,0.10814436057221859,0.0865083320826762,0.09810484135084797,0.0879269805173035,0.051727290731886935,0.056191933821232505,0.030356705132670882,0.031840636243366735,0.06808972365971902,0.7298563199289578,0.7196660612583262
harsha_1,171.27,165.85,171.15,165.43,170.5,172.06,175.68,166.4,171.97,176.13,161.77,169.25,166.18,154.04,169.3,169.92,170.48,174.68,169.78,165.15,168.16,176.12,162.58,169.6,175.87,166.36,170.92,165.81,156.65,169.76,93.73,97.06,149.13,121.12,97.12,169.4,0.10506927915130371,0.09166244207736803,0.11104416485908417,0.08758247322289893,0.05649901031632846,0.07545369142751747,0.010248282257671723,0.04495497350487312,0.05971222240256585,0.11692225857212159,0.08994820907341512,0.08727161273015442,0.08534227366302448,0.05271112851568032,0.05987096452087238,0.019138027145435957,0.02785318736595849,0.06475561737173477,0.7087987636165302,0.7338078897487766
harsha_1,173.94,165.98,176.63,176.75,174.16,174.45,173.66,158.85,165.34,168.33,155.2,167.42,172.39,125.56,160.7,167.87,173.83,175.88,170.53,167.32,165.97,174.57,163.27,167.44,164.29,163.3,169.95,157.88,149.73,166.19,93.29,94.46,150.09,118.01,94.68,165.46,0.11378675434166988,0.10620527365750575,0.08522491224048682,0.080222471107865,0.03448274929638668,0.0828076818908579,0.0427488256203181,0.0371135622877273,0.08939760410516534,0.12247386401122151,0.09246251423716777,0.08845470901141486,0.08769005282862939,0.048315020889982546,0.061196309592311045,0.024205810036437847,0.030506556342374473,0.07650040364230695,0.6263212687963292,0.6678290700786467
harsha_1,173.93,165.46,178.6,174.14,170.22,171.72,167.34,157.39,163.53,166.75,156.3,147.94,164.6,154.64,158.67,169.86,174.74,175.45,167.22,167.59,165.93,171.29,163.58,167.71,171.25,165.83,170.44,165.73,159.06,166.88,94.37,95.36,172.17,116.18,102.19,168.82,0.11327710819886413,0.10882653574488706,0.08204204131690492,0.05005149097328685,0.04121688432091224,0.09028197711530328,0.06110290598368193,0.07528260837346655,0.0797395658372863,0.13170491500799544,0.08555335623541709,0.08391313495665206,0.0754220678034003,0.039233992341408876,0.05393162313409772,0.020025381550510573,0.03525505734787221,0.0679844555203149,0.6993740571770077,0.754621617223343
harsha_1,171.21,176.63,174.38,169.34,163.05,159.87,165.76,153.53,159.2,162.15,149.42,163.91,120.62,161.47,149.78,171.42,168.27,174.97,173.58,168.32,174.3,162.98,142.66,169.91,148.29,143.51,165.01,137.77,165.81,172.28,93.17,101.32,171.51,114.91,102.82,169.01,0.12231529361052233,0.07609594041910656,0.06310228653738248,0.05283631023103545,0.044503790748738274,0.056252724923624764,0.039709216905826066,0.04697794843687121,0.10768379304915367,0.09492162440329649,0.09273206833326618,0.0632485292228166,0.043313197532317854,0.05778576078751823,0.08449623119639217,0.057372518978505836,0.07038753863795609,0.0931649418839145,0.7236066487544347,0.7467384560490677
harsha_1,164.67,179.25,171.55,166.23,166.39,165.62,157.59,147.92,120.98,154.45,128.19,155.16,155.4,159.84,165.83,168.97,168.17,174.58,173.79,171.98,176.98,164.04,165.98,170.46,160.63,159.14,172.0,147.84,163.87,177.1,90.9,109.12,163.0,113.7,107.41,166.67,0.1074404358175557,0.06472494077939869,0.035391444423412126,0.04018508943666554,0.0627787629913866,0.05684958664658567,0.0638175109020486,0.08464569614071729,0.05888726531338165,0.09616068785486552,0.07466184053178314,0.04635402258485661,0.038697074422776874,0.05910301251113723,0.07854742951286643,0.0670238957394664,0.0612467598437634,0.08675745762778553,0.7369554862784237,0.7606574209545549
